CV-OT-002;Consolas y Videojuegos;Otras;Atari Flashback 7;Una de las consolas más legendarias de la historia de los videojuegos vuelve para quedarse. La Atari regresa con 101 juegos retro que definen su generación y como novedad ahora es compatible con populares títulos de KONAMI como Frogger, Amidar, Time Pilot, Super Cobra o Tutankham. Además incluye los clásicos de la atari 2600 como: Asteroids, Pong, Centipede, Breakout o Missile Command. La Atari Flashback 7 es una consola Retro indispensable;80.25;8;6
FV-CR-001;Fotografía y Vídeo;Cámaras Reflex;Canon EOS 1200D;La consola PSP cambió la tendencia de hacer cada vez aparatos portátiles más pequeños, sacando al mercado una consola con una pantalla mayor y convirtiéndose en la segunda consola portátil con un D stick (después de la Neo Geo Pocket), que consigue que se disfruten mejor los juegos;350;15;3
FV-CR-002;Fotografía y Vídeo;Cámaras Reflex;Nikon D7100;Aporte una inyección de adrenalina a su pasión por la fotografía con la D7100 de potencia excepcional. Increíblemente ligera y compacta para un cuerpo que integra múltiples funciones y de extraordinaria durabilidad, ofrece un extraordinario rendimiento DX para que evolucione en el campo de la fotografía. Al no emplear ningún filtro de paso bajo óptico (OLPF), la D7100 saca el máximo provecho de su sensor CMOS de formato DX de 24,1 megapíxeles para capturar con definición incluso las texturas más sutiles en una alta resolución nítida. El sistema de autofoco (AF) de 51 puntos le ofrece una captura de imágenes rápida y de extrema precisión de nivel profesional. Esta cámara D-SLR de alta gama es resistente a las caídas, el agua y el polvo y cuenta con tapas superior y posterior de aleación de magnesio;259;12;4
FV-VI-001;Fotografía y Vídeo;Videocámaras;Panasonic HC-V180;Disfruta de grandes paisajes o del tiempo con la familia con la seguridad de que la grabación se mantendrá estable y nítida. Gracias a las funciones Level Shot y 5Axis Hybrid O.I.S.+ que detectan y corrigen la inclinación de las imágenes capturadas, la borrosidad causada por los temblores de la mano será suprimida por completo. Esta es una característica de vital importancia en grabaciones con zoom elevado o para neutralizar la vibración de la cámara. El práctico ajuste gran angular también permite capturar impresionantes paisajes y fotografías de grupo;169;8;5
FV-AC-01;Fotografía y Vídeo;Accesorios;Viltrox JY680A;Especificaciones: número de guía: GN33 (ISO/100 metros) duración de Flash: 1/1050s (con salida de 1/1) modo de Flash: M/Multi/S1/S2 Control Flash: 8 niveles de salida control (1/128--1/1) tiempo reciclar: 0.3-5 Indicador de Flash listo del : piloto rojo rango de transmisión: en el interior 12-15m / al aire libre de 8-10m ángulo de recepción: Horizontal-40, W.t.c vertical 30, interfaz externa: Zapata, puerto PC, Puerto de alimentación externa fuente de alimentación: 4  AA / CP-E4;23;1;4
FV-AC-02;Fotografía y Vídeo;Accesorios;Andoer AD-560;Con LED de luz de relleno, ajustable. Encienda la función de sonido para que diferentes sonidos le indiquen distintas situaciones de trabajo y le ayude a centrarse;27;1;3
TM-XX-001;Telefonía Móvil;;Samsung Galaxy J7; Elegancia y robustez a partes iguales. Su marco metálico protegerá tu smartphone de los arañazos, por lo que podrás disfrutar de tu Samsung Galaxy J7 por más tiempo. Una cámara espectacular, fotos lo más nítidas posible incluso en escenas oscuras, gracias al rápido objetivo F1.9 de su cámara delantera y trasera;275.5;20;3
TM-XX-002;Telefonía Móvil;;Zapatófono 1.0;El último grito en comunicaciones espías. Adquiere el teléfono que ningún enemigo encontrará al cachearte porque simplemente no se le va a ocurrir buscarlo. Ligero, discreto y con batería de larga duración. Vibración y posibilidad de marcación con los dedos del pie. Disponible en diferentes tallas y pies;350;15;2
TM-XX-003;Telefonía Móvil;;Iphone 7.0;El iPhone 7 da un paso de gigante en todos y cada uno de los aspectos que hacen del iPhone algo único. Nuevo sistema avanzado de cámaras. El mejor rendimiento y la mayor autonomía que se han visto en un iPhone. Altavoces estéreo. Resistencia al agua y a las salpicaduras. Y la pantalla de iPhone más brillante y con más colores hasta la fecha. Es una belleza. Es una bestia. Es el 7« less;769;40;3
TM-XX-004;Telefonía Móvil;;Alcatel One Touch Easy;El One Touch Easy reeditado para nostálgicos.  Su carcasa mide 133 × 54 × 25 milímetros y pesa 160 gramos. Concebido como teléfono 2G y con una pantalla LCD monocroma. Su memoria interna permite registrar cinco llamadas perdidas, cinco salientes y cinco recibidas. Su batería Ni-Mh dura 3 horas y su teclado de goma sirve de quitanervios. Además, es una efectiva arma de defensa personal en caso de lanzarlo a la cabeza del agresor;60;1;2
TM-XX-005;Telefonía Móvil;;BQ Aquaris U Plus 4G;Modelo superior al X5 a un precio menor. Incluye un procesador Snapdragon 430 octacore, junto a 2 o 3 GB de memoria RAM en función de la versión, y 16 o 32 GB de almacenamiento, ampliables mediante tarjeta micro SD de hasta 256 GB. Lo más destacable de este terminal es sin duda la cámara principal de 16 megapixeles, que sobresale con respecto a lo que ofrece la competencia, establecida en el cómodo estándar de los 13 MP;199.9;20;4
OT-SO-001;Ordenadores y Tablets;Sobremesa;HP 260-A111NS;Deshazte de tu vieja torre que tanto espacio ocupa en tu escritorio y cámbiala por el ordenador de sobremesa HP Slimline 260-A111NS + Monitor 22 pulgadas. Su procesador AMD de 4 núcleos te ofrecerá el rendimiento que necesitas para tus tareas diarias. Cuenta también con un disco duro de 1 TB de capacidad por lo que tendrás todo el espacio que necesitas para almacenar tus archivos;499;45;10
OT-SO-002;Ordenadores y Tablets;Sobremesa;Apple iMac 21.5, Core i5;El iMac de 21.5 pulgadas con tecnología IPS y resolución de pantalla 1920 x 1080 compatible con millones de colores quedará perfecto y elegante en tu comedor, estudio, oficina o habitación. La resolución 1920 x 1080 te ofrecerá la posibilidad de ver imágenes tan nítidas que no podrás apartar tus ojos de su pantalla para no perderte detalle.El procesador Intel Core i5 de cuatro núcleos con una velocidad de 2.8GHz (Turbo Boost de hasta 3.3GHz), acompañado por 8GB de memoria RAM hacen que este sea un dispositivo genial para realizar todo tipo de tareas, especialmente para trabajar en edición de vídeo, 3D, diseño o foto gracias a la tarjeta gráfica Intel Iris Pro Graphics 6200;1450;120;2
OT-PO-001;Ordenadores y Tablets;Portátiles;Acer Aspire ES 17;Ordenador portátil de 17.3" (Intel Celeron N3050, memoria RAM de 4 GB, disco duro de 1 TB, Windows 8). Color negro;325.99;32;5
OT-PO-002;Ordenadores y Tablets;Portátiles;Asus F540SA-XX645T;Realiza las tareas del día a día eficazmente gracias al portátil Asus F540SA-XX645T. Su procesador Intel Celeron de 2 núcleos y sus 4 GB de RAM te ofrece el rendimiento que necesitas. Está equipado con un procesador Intel® Celeron® N3050 con velocidad de 2.48 GHz y una memoria RAM de 4 GB. Además, gracias a su pantalla de 15.6’’ combinada con una tarjeta gráfica integrada Intel® HD Graphics 400, disfrutarás de tus contenidos multimedia en alta definición;398.9;35;12
OT-PO-003;Ordenadores y Tablets;Portátiles;Microsoft Surface Pro 4;Surface Pro 4 es la nueva maravilla de Microsoft, más que un portátil y más que una tableta.Tendrás todo lo que ofrece un ordenador portátil o una tablet potente, en un cuerpo fino y ligero de elegante diseño con la mejor pantalla táctil jamás vista en una tablet Windows. Cuenta con 12.3 pulgadas de panel PixelSense con 2736x1824 píxeles de resolución, lo que está muy encima del famoso Full HD. Disfrutarás de una gran nitidez y color en cualquier situación, además de un control multitáctil de 10 puntos de altísima calidad tecnológica;849;75;6
OT-PO-004;Ordenadores y Tablets;Portátiles;Lenovo YOGA 3;Diviértete y trabaja estés donde estés con el 2 en 1 convertible YOGA 3 de Lenovo. Dispone del procesador Intel® Core i3-5005U a 2.2GHz, 4GB de memoria RAM y un disco SSD de 128GB que te permitirá realizar cualquier tipo de tarea de trabajo, disfrutar de tu contenido multimedia favorito, navegar por la web y mucho más;799;70;1
OT-TA-001;Ordenadores y Tablets;Tablets;Samsung Galaxy Tab A T550 ;Para que cualquier tarea que pidas a tu Galaxy Tab se haga en un abrir y cerrar de ojos han contado con un procesador Quad Core y 1.5GB de RAM. Ambos componentes trabajan a destajo para que tú disfrutes de la inmediatez. Además cuenta con la última versión del mejor sistema operativo para móviles y tablets, Android 5.0 Lollipop. Con él descubrirás un mundo ilimitado de contenidos, programas, aplicaciones, juegos y miles de utilidades con las que personalizar tu tablet, trabajar y divertirte;179;15;5
OT-AC-001;Ordenadores y Tablets;Accesorios;Logitech M187; Mini ratón inalámbrico, negro;10;1;20
OT-AC-002;Ordenadores y Tablets;Accesorios;Alfombrilla de Ratón Gaming;260 * 210 mm, Silicona Suave Antideslizante de 4 mm de espesor;8.5;0;4
VI-CA-001;Videovigilancia;Cámaras;Kit Videovigilancia Conceptronic Profesional ;Con cámaras de alta definición de calidad excelente colocadas en todos los laterales del edificio, se pueden vigilar todos los puntos de acceso de forma segura en todo momento, tanto de día como de noche. Gracias a un software sofisticado, puede supervisar fácilmente las ocho cámaras desde cualquier equipo de sobremesa, portátil, tableta o teléfono inteligente. Todas las cámaras cumplen el estándar de impermeabilidad IP66 y funcionan a temperaturas comprendidas entre -10 °C y 50°C. Los LED infrarrojos integrados admiten supervisión nocturna para distancias de hasta 20 metros, proporcionando imágenes nítidas en cualquier momento y condición. Las cámaras de gran calidad también ofrecen grabación y reproducción en alta resolución a pantalla completa;260;13;5
VI-CA-002;Videovigilancia;Cámaras;NEXUS 115AZ4;Paquete completo de videovigilancia con 4 cámaras de vigilancia con protección antivandalismo para vigilancia interior y exterior, con lente de zoom, de NEXUS;299;15;3
VI-MI-001;Videovigilancia;Micrófonos;Microfono para Camara Video Vigilancia;Micrófono para cámara. Opción audio para cámaras. Este cable puede estar integrado entre la cámara y el cable de conexión del DVR o monitor;13;0;7
VI-KI-001;Videovigilancia;Kits;Pack videovigilancia sin ADSL (con tarjeta SIM);Este pack está formado por tres productos que, conjuntamente, te permitirán tener videovigilancia en cualquier lugar aunque no dispongas de ADSL ya que obtendrás internet a partir de la red MOVIL GSM/3G.Esto es especilamente útil para casas apartadas, naves, etc. Es decir, en cualquier lugar con conexión eléctrica (enchufe) y con cobertura de móvil. Los tres productos son: Router WiFi móvil 4G/3G, listo para introducir tu tarjeta SIM, Cámara IP, modelo HW0021, motorizada, con wifi, ranura para grabación microSD y con visión nocturna y tarjeta SIM sin cuotas fijas;179;12;15
VI-KI-002;Videovigilancia;Kits;Kit hdcvi;Un kit HD al alcance de su mano. Minidomo HD con visión nocturna inteligente Smart IR y sistema BLC Grabador híbrido HD con visualización remota por móvil, ordenador o tablet;189;10;0
